date_of_shipment,hsn_code,goods_description,quantity,unit,unit_price_inr,total_value_inr,duty_paid_inr,supplier_name,hsn_description,year,month,year_month,model_name,model_number,capacity_spec,material_type,embedded_qty,unit_price_usd,unit_standardized,grand_total_inr,landed_cost_per_unit,duty_percentage,category,sub_category
2017-03-15,70134900,BOROSILICATE GLASS TUMBLER 350ML MODEL NO BT350 @ USD 1.2/PC,1200,PCS,85.2,102240,28507,"SHANGHAI GLASSWARE CO LTD, CHINA",Glassware of a kind used for table/kitchen,2017,3,2017-03,Borosilicate Glass Tumbler,BT350,350ML,Borosilicate,,1.2,PCS,130747,108.955833333333,27.8824334898279,Glassware,Borosilicate
2018-06-22,44199090,WOODEN SPOON 12 INCH PACK OF 100 @ USD 0.35/PC,500,NOS,29.75,14875,4162,"YIWU WOODCRAFT FACTORY, CHINA",Articles of wood,2018,6,2018-06,Wooden Spoon Inch,,12 INCH,Wood,100.0,0.35,PCS,19037,38.074,27.9798319327731,Wooden Products,Spoons
2019-09-10,73239390,STAINLESS STEEL BOWL 500ML SS-501 @ USD 2.8/PC,800,PCS,238.0,190400,53292,"GUANGZHOU STEEL PRODUCTS LTD, CHINA",Table/kitchenware of stainless steel,2019,9,2019-09,Stainless Steel Bowl,SS-501,500ML,Stainless Steel,,2.8,PCS,243692,304.615,27.9894957983193,Steel Products,Others
2020-01-05,39241090,PLASTIC WATER BOTTLE 1000ML PB-1000 USD 0.95 PER PC,2000,PCS,80.75,161500,45162,"NINGBO PLASTIC MOULD CO, CHINA",Table/kitchenware of plastics,2020,1,2020-01,Plastic Water Bottle,PB-1000,1000ML,Plastic,,0.95,PCS,206662,103.331,27.9640866873065,Plastic Products,Others
2021-04-18,84148090,GREENHOUSE FAN 50 INCH HEAVY DUTY USD 185/PC,50,NOS,15725.0,786250,219918,"QINGDAO GREENHOUSE TECH CO LTD, CHINA",Air or vacuum pumps,2021,4,2021-04,Greenhouse Fan Inch,,50 INCH,,,185.0,PCS,1006168,20123.36,27.970492845787,Machinery,Others
2022-07-30,70134900,BOROSILICATE GLASS JAR 1000ML BJ-1000 @ USD 2.1/PC,600,PCS,178.5,107100,29944,"SHANDONG BOROSILICATE GLASS, CHINA",Glassware of a kind used for table/kitchen,2022,7,2022-07,Borosilicate Glass Jar,BJ-1000,1000ML,Borosilicate,,2.1,PCS,137044,228.406666666667,27.9589169000934,Glassware,Borosilicate
2023-11-12,70134900,OPALWARE DINNER SET 36 PCS OP-36 @ USD 18/SET,300,SET,1530.0,459000,128367,"GUANGDONG OPALWARE MANUFACTURER, CHINA",Glassware of a kind used for table/kitchen,2023,11,2023-11,Opalware Dinner Set,OP-36,,Opal,,18.0,SET,587367,1957.89,27.9666666666667,Glassware,Opalware
2024-02-25,44199090,BAMBOO FORK & SPOON SET PACK OF 50 USD 0.45/PC,1000,NOS,38.25,38250,10699,"FUJIAN BAMBOO PRODUCTS CO, CHINA",Articles of wood,2024,2,2024-02,Bamboo Fork Spoon,,,Bamboo,50.0,0.45,PCS,48949,48.949,27.9712418300654,Wooden Products,Spoons
2024-06-14,73239390,SS CUTLERY SET 24 PCS MODEL CS-24 @ USD 8.5/SET,400,SET,722.5,289000,80812,"WUYI STAINLESS STEEL FACTORY, CHINA",Table/kitchenware of stainless steel,2024,6,2024-06,Cutlery Set Pcs,CS-24,,Stainless Steel,,8.5,SET,369812,924.53,27.9626297577855,Steel Products,Others
2025-08-03,70134900,BOROSILICATE GLASS BOTTLE 500ML BB500 @ USD 1.65/PC,1500,PCS,140.25,210375,58825,"HEBEI GLASS INDUSTRIES, CHINA",Glassware of a kind used for table/kitchen,2025,8,2025-08,Borosilicate Glass Bottle,BB500,500ML,Borosilicate,,1.65,PCS,269200,179.466666666667,27.961972667855,Glassware,Borosilicate
2025-01-19,70134900,BOROSILICATE TUMBLER 300ML CLEAR USD 1.1/PC,1800,PCS,93.5,168300,47084,"SHANGHAI GLASSWARE CO LTD, CHINA",Glassware of a kind used for table/kitchen,2025,1,2025-01,Borosilicate Tumbler,,300ML,Borosilicate,,1.1,PCS,215384,119.657777777778,27.9762329174094,Glassware,Borosilicate
2025-04-28,44199090,WOODEN SERVING SPOON 14 INCH @ USD 0.48/PC,750,PCS,40.8,30600,8556,"YIWU WOODCRAFT FACTORY, CHINA",Articles of wood,2025,4,2025-04,Wooden Serving Spoon,,14 INCH,Wood,,0.48,PCS,39156,52.208,27.9607843137255,Wooden Products,Spoons
2025-07-17,70134900,GLASS STORAGE JAR 750ML WITH LID USD 1.8/PC,900,PCS,153.0,137700,38516,"SHANDONG BOROSILICATE GLASS, CHINA",Glassware of a kind used for table/kitchen,2025,7,2025-07,Glass Storage Jar,,750ML,Stainless Steel,,1.8,PCS,176216,195.795555555556,27.9709513435004,Glassware,Others
